"DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","ON STREET NAME","CROSS STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2"
"08/24/2015","10:00","MANHATTAN",10005,40.7056229,-74.0067663,"WATER STREET","PINE STREET",0,0,0,0,0,0,0,0,"Other Vehicular","Turning Improperly",3283191,"SPORT UTILITY / STATION WAGON","OTHER"
"08/24/2015","10:00","MANHATTAN",10013,40.7210624,-73.9981962,"LAFAYETTE STREET","BROOME STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283203,"LARGE COM VEH(6 OR MORE TIRES)","PASSENGER VEHICLE"
"08/24/2015","10:00","MANHATTAN",10013,40.7219516,-73.9962697,"SPRING STREET","MULBERRY STREET",0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",3283713,"FIRE TRUCK","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","10:00","MANHATTAN",10025,40.7939517,-73.974163,"WEST 94 STREET","WEST END AVENUE",0,0,0,0,0,0,0,0,"Prescription Medication","Unspecified",3283260,"PASSENGER VEHICLE","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","10:20","MANHATTAN",10035,40.8089583,-73.9404033,"WEST 129 STREET","5 AVENUE",0,0,0,0,0,0,0,0,"Outside Car Distraction","Unspecified",3283849,"VAN","SMALL COM VEH(4 TIRES)"
"08/24/2015","10:28","MANHATTAN",10016,40.7470784,-73.9813415,"EAST 34 STREET","PARK AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283222,"PICK-UP TRUCK","BUS"
"08/24/2015","10:30","MANHATTAN",10016,40.7439442,-73.9836267,"EAST 29 STREET","PARK AVENUE SOUTH",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283220,"SPORT UTILITY / STATION WAGON","TAXI"
"08/24/2015","10:40","MANHATTAN",10013,40.7216223,-74.0022079,"GREENE STREET","GRAND STREET",0,0,0,0,0,0,0,0,"Lost Consciousness","Unspecified",3283189,"LARGE COM VEH(6 OR MORE TIRES)","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","10:40","MANHATTAN",10013,40.7165417,-73.9969843,"CANAL STREET","ELIZABETH STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3285053,"PICK-UP TRUCK","PICK-UP TRUCK"
"08/24/2015","11:00","MANHATTAN",10016,40.7509045,-73.9806727,"EAST 39 STREET","MADISON AVENUE",0,0,0,0,0,0,0,0,"Traffic Control Disregarded","Unspecified",3284422,"LIVERY VEHICLE","LARGE COM VEH(6 OR MORE TIRES)"
